,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/16,6287.7593,6359.5186,5985.0195,6337.0156,CI005113.WI
2022/3/16,3802.7522,3876.855,3706.4844,3865.7334,CI005102.WI
2022/3/16,1010.0295,1048.1691,985.606,1043.7351,CI005847.WI
2022/3/16,4772.2217,5015.4175,4743.7554,5006.9229,CI005144.WI
2022/3/16,3262.1765,3309.6846,3158.6008,3295.9673,CI005122.WI
2022/3/16,764.7509,792.2393,753.439,790.8947,CI005831.WI
2022/3/16,2787.2439,2838.3711,2664.4026,2838.2966,CI005809.WI
2022/3/16,1080.724,1103.0353,1047.4551,1101.2192,CI005801.WI
2022/3/16,1139.8403,1159.8269,1101.3561,1155.5702,CI005823.WI
2022/3/16,70347.8672,71799.2578,67867.5703,71486.4844,CI005156.WI
2022/3/16,9367.8652,9768.3447,9265.5625,9716.5996,CI005164.WI
2022/3/16,5823.6343,5912.6958,5638.2998,5902.6963,CI005127.WI
2022/3/16,7578.1182,7777.1318,7367.6953,7765.3013,CI005138.WI
2022/3/16,3710.4224,3794.3733,3599.8406,3778.1956,CI005178.WI
2022/3/16,1083.9578,1102.7097,1040.9677,1098.5162,CI005198.WI
2022/3/16,3602.0164,3657.9561,3472.7854,3638.719,CI005117.WI
2022/3/16,938.1945,961.2175,910.1568,957.6586,CI005825.WI
2022/3/16,386.8919,395.3448,375.4004,393.4433,CI005814.WI
2022/3/16,9008.0645,9148.2783,8675.8213,9112.6992,CI005124.WI
2022/3/16,1587.2471,1601.0773,1512.3484,1599.6577,CI005191.WI
2022/3/16,1105.0623,1139.1594,1083.5728,1133.7201,CI005844.WI
2022/3/16,1558.6919,1600.3296,1508.131,1598.2543,CI005838.WI
2022/3/16,979.71,998.5278,946.0435,995.8367,CI005819.WI
2022/3/16,2390.804,2437.8684,2298.9419,2426.3501,CI005105.WI
2022/3/16,1011.1677,1041.4084,990.7911,1037.4728,CI005815.WI
2022/3/16,1934.9712,1961.1488,1910.655,1955.6522,CI005163.WI
2022/3/16,1084.0511,1096.9165,1038.5814,1094.798,CI005807.WI
2022/3/16,1155.1619,1175.8213,1110.3088,1172.7688,CI005836.WI
2022/3/16,1479.8784,1484.1095,1400.5629,1478.8361,CI005824.WI
2022/3/16,15406.6299,15580.8555,14785.5527,15469.6563,CI005154.WI
2022/3/16,1006.8383,1061.1591,1006.8383,1061.1591,CI005830.WI
2022/3/16,1561.1539,1674.891,1523.8887,1661.7178,CI005845.WI
2022/3/16,1981.863,2002.5114,1879.724,1995.146,CI005192.WI
2022/3/16,15618.7139,16113.8125,15121.6436,16093.9551,CI005136.WI
2022/3/16,2843.9063,2889.8875,2747.8682,2871.2798,CI005104.WI
2022/3/16,4023.866,4118.8159,3883.0266,4107.3101,CI005181.WI
2022/3/16,1737.9867,1762.321,1663.6993,1759.9746,CI005808.WI
2022/3/16,4102.8789,4193.5103,3936.3772,4184.1631,CI005107.WI
2022/3/16,1384.0757,1408.6593,1327.5554,1403.9082,CI005189.WI
2022/3/16,1583.6498,1620.7607,1526.6843,1615.1359,CI005805.WI
2022/3/16,988.089,1012.2424,968.3795,1010.2092,CI005846.WI
2022/3/16,32812.1016,33376.4727,31730.4355,33171.2461,CI005145.WI
2022/3/16,1364.4943,1403.7712,1336.8148,1403.1432,CI005172.WI
2022/3/16,1666.2147,1711.9429,1616.4941,1704.2963,CI005800.WI
2022/3/16,15227.3672,15627.4111,14637.6699,15604.9316,CI005106.WI
2022/3/16,1965.5631,2059.4893,1965.5631,2056.4219,CI005173.WI
2022/3/16,4272.9854,4349.1753,4099.4604,4331.4287,CI005137.WI
2022/3/16,757.0651,775.5413,738.8798,772.8589,CI005828.WI
2022/3/16,2949.4138,3038.5403,2853.21,3029.707,CI005134.WI
2022/3/16,2244.6108,2298.6011,2180.4153,2287.0503,CI005146.WI
2022/3/16,1035.5963,1055.9985,1008.1645,1054.6266,CI005821.WI
2022/3/16,839.9162,866.5341,823.5878,864.5961,CI005196.WI
2022/3/16,3559.0581,3624.8491,3440.8755,3610.7842,CI005110.WI
2022/3/16,1517.4402,1545.001,1465.1479,1537.9442,CI005195.WI
2022/3/16,871.0751,892.3781,834.1943,891.7306,CI005817.WI
2022/3/16,2658.6389,2708.5459,2586.9993,2704.5852,CI005185.WI
