,close,open,high,low,volume,code
2010-06-23,4094.568,4098.259,4138.777,4039.925,3126797700.0,000905.SH
2010-06-24,4095.295,4090.974,4120.84,4070.488,2497078700.0,000905.SH
2010-06-25,4028.433,4079.192,4080.023,3992.374,2580171500.0,000905.SH
2010-06-28,3961.382,4023.107,4036.429,3944.47,2111946900.0,000905.SH
2010-06-29,3736.982,3960.676,3973.927,3735.119,3357564300.0,000905.SH
2010-06-30,3664.464,3699.181,3701.331,3620.274,2553734000.0,000905.SH
2010-07-01,3606.593,3657.956,3692.903,3604.357,2246347000.0,000905.SH
2010-07-02,3585.576,3600.76,3609.002,3430.361,3087686800.0,000905.SH
2010-07-05,3563.882,3535.741,3586.578,3498.903,2248425300.0,000905.SH
2010-07-06,3665.334,3556.19,3665.379,3554.071,2959201200.0,000905.SH
2010-07-07,3718.662,3672.15,3718.931,3656.298,2894769300.0,000905.SH
2010-07-08,3698.342,3729.238,3736.51,3663.731,2779247100.0,000905.SH
2010-07-09,3807.604,3699.313,3817.669,3677.338,4073329500.0,000905.SH
2010-07-12,3849.52,3809.747,3866.782,3799.429,4001443600.0,000905.SH
2010-07-13,3788.751,3816.463,3816.463,3747.396,3444529500.0,000905.SH
2010-07-14,3824.046,3795.211,3862.386,3795.176,3540965900.0,000905.SH
2010-07-15,3735.395,3817.178,3850.196,3735.285,3271061200.0,000905.SH
2010-07-16,3757.432,3713.659,3764.835,3672.02,2798721100.0,000905.SH
2010-07-19,3842.313,3718.13,3848.631,3701.931,3507423600.0,000905.SH
2010-07-20,3951.358,3849.042,3951.542,3848.741,5268350400.0,000905.SH
2010-07-21,3959.427,3953.773,4001.427,3937.484,5204248800.0,000905.SH
2010-07-22,4017.864,3947.994,4018.056,3940.463,4617888300.0,000905.SH
2010-07-23,4015.467,4020.914,4028.513,3965.704,4471046200.0,000905.SH
2010-07-26,4071.094,4023.064,4071.47,4011.746,4385787200.0,000905.SH
2010-07-27,4068.864,4062.251,4091.312,4041.898,4106628300.0,000905.SH
2010-07-28,4162.321,4061.019,4162.66,4050.187,5790200700.0,000905.SH
2010-07-29,4194.04,4170.762,4196.026,4139.942,6274903600.0,000905.SH
2010-07-30,4191.13,4181.218,4203.643,4137.235,4729828900.0,000905.SH
2010-08-02,4267.895,4192.66,4268.395,4192.523,5427313500.0,000905.SH
2010-08-03,4193.641,4277.27,4289.459,4193.298,5940590400.0,000905.SH
2010-08-04,4248.014,4178.191,4248.234,4137.646,5468676200.0,000905.SH
2010-08-05,4267.955,4247.05,4306.648,4231.469,5841457800.0,000905.SH
2010-08-06,4356.012,4260.63,4356.213,4228.669,6369627500.0,000905.SH
2010-08-09,4413.568,4357.182,4414.526,4352.923,5999110400.0,000905.SH
2010-08-10,4246.46,4412.268,4417.203,4246.46,6248551200.0,000905.SH
2010-08-11,4297.904,4230.353,4309.788,4230.353,4263884600.0,000905.SH
2010-08-12,4241.592,4248.984,4317.946,4228.531,4532665300.0,000905.SH
2010-08-13,4323.052,4240.495,4323.248,4212.205,4184958500.0,000905.SH
2010-08-16,4423.315,4322.02,4429.902,4315.022,5625259300.0,000905.SH
2010-08-17,4457.759,4436.376,4470.457,4414.214,5691170200.0,000905.SH
2010-08-18,4457.127,4462.578,4475.923,4409.594,5689720800.0,000905.SH
2010-08-19,4461.488,4456.274,4491.738,4423.987,5931286200.0,000905.SH
2010-08-20,4366.604,4442.693,4444.851,4350.155,5829874700.0,000905.SH
2010-08-23,4404.718,4363.169,4416.826,4362.72,4853665600.0,000905.SH
2010-08-24,4456.497,4401.523,4476.262,4370.569,5469966300.0,000905.SH
2010-08-25,4368.304,4428.36,4457.837,4364.061,5428539800.0,000905.SH
2010-08-26,4399.284,4376.923,4415.836,4355.032,4240153800.0,000905.SH
2010-08-27,4431.444,4393.99,4437.794,4375.391,3694988900.0,000905.SH
2010-08-30,4553.023,4453.05,4553.398,4453.05,5541290600.0,000905.SH
2010-08-31,4589.289,4541.767,4605.176,4529.735,5906349100.0,000905.SH
2010-09-01,4530.229,4595.208,4613.088,4473.568,6464895300.0,000905.SH
2010-09-02,4625.395,4562.431,4631.0,4545.787,6512640000.0,000905.SH
2010-09-03,4662.96,4632.26,4671.343,4596.122,6759264100.0,000905.SH
2010-09-06,4651.963,4682.262,4692.106,4616.069,6424395900.0,000905.SH
2010-09-07,4679.942,4650.949,4680.332,4613.393,5416786500.0,000905.SH
2010-09-08,4720.375,4660.898,4723.833,4644.349,5522650400.0,000905.SH
2010-09-09,4658.009,4730.861,4746.029,4649.038,7024723000.0,000905.SH
2010-09-10,4705.31,4655.704,4712.56,4593.45,6231407600.0,000905.SH
2010-09-13,4789.693,4713.062,4791.48,4707.358,6235460200.0,000905.SH
2010-09-14,4805.416,4796.464,4821.55,4770.364,6104981400.0,000905.SH
2010-09-15,4730.143,4802.611,4802.611,4712.529,6025628700.0,000905.SH
2010-09-16,4610.916,4721.555,4739.427,4558.399,5601623100.0,000905.SH
2010-09-17,4603.489,4616.572,4646.197,4575.79,4208531700.0,000905.SH
2010-09-20,4553.12,4608.853,4622.512,4531.484,3880639200.0,000905.SH
2010-09-21,4546.724,4561.669,4576.037,4516.613,2851413200.0,000905.SH
2010-09-27,4673.602,4570.608,4673.762,4570.608,3648028400.0,000905.SH
2010-09-28,4654.345,4672.15,4695.04,4643.173,4167801400.0,000905.SH
2010-09-29,4590.317,4648.162,4659.562,4577.403,3995348400.0,000905.SH
2010-09-30,4660.605,4564.812,4660.605,4553.959,3528901900.0,000905.SH
2010-10-08,4767.967,4696.379,4787.448,4691.637,5155148900.0,000905.SH
2010-10-11,4789.155,4784.653,4825.355,4746.544,7659541200.0,000905.SH
2010-10-12,4806.029,4772.91,4808.126,4748.743,6783344000.0,000905.SH
2010-10-13,4836.737,4808.389,4838.859,4765.944,7737040400.0,000905.SH
2010-10-14,4679.548,4842.689,4848.857,4675.383,7571346200.0,000905.SH
2010-10-15,4691.45,4654.273,4719.928,4638.239,7182738700.0,000905.SH
2010-10-18,4636.639,4699.028,4701.156,4545.066,8367456000.0,000905.SH
2010-10-19,4778.607,4637.959,4779.113,4637.05,6516314300.0,000905.SH
2010-10-20,4794.194,4682.654,4828.9,4661.194,7663805700.0,000905.SH
2010-10-21,4833.8,4805.704,4844.54,4771.607,6789941400.0,000905.SH
2010-10-22,4877.927,4837.328,4892.619,4826.825,6607192200.0,000905.SH
2010-10-25,4998.5,4894.852,4998.892,4894.806,8102924700.0,000905.SH
2010-10-26,5046.148,5010.024,5046.65,4983.839,8913849000.0,000905.SH
2010-10-27,4994.774,5046.211,5088.85,4976.714,8049167800.0,000905.SH
2010-10-28,4999.59,4978.536,5020.066,4952.708,6178162100.0,000905.SH
2010-10-29,5055.492,5005.657,5068.704,4992.81,6547187700.0,000905.SH
2010-11-01,5199.525,5072.758,5199.812,5072.758,8523837700.0,000905.SH
2010-11-02,5173.066,5211.466,5272.446,5171.501,9686436800.0,000905.SH
2010-11-03,5098.539,5165.912,5197.959,5096.457,7631712400.0,000905.SH
2010-11-04,5228.296,5104.775,5228.924,5104.775,7612600900.0,000905.SH
2010-11-05,5311.77,5274.568,5313.483,5244.377,8950490800.0,000905.SH
2010-11-08,5431.091,5338.512,5431.394,5330.514,9507648700.0,000905.SH
2010-11-09,5467.839,5435.364,5468.36,5398.702,9270058100.0,000905.SH
2010-11-10,5484.742,5459.4,5504.881,5432.626,8859264100.0,000905.SH
2010-11-11,5440.099,5462.758,5581.354,5440.099,9877328400.0,000905.SH
2010-11-12,5111.189,5411.866,5445.708,5094.799,10514325500.0,000905.SH
2010-11-15,5255.267,5117.16,5255.852,5083.851,6785033500.0,000905.SH
2010-11-16,5068.465,5259.513,5288.967,5017.246,7836215300.0,000905.SH
2010-11-17,4855.85,4989.798,5039.089,4830.509,5430789000.0,000905.SH
2010-11-18,4932.401,4885.909,4941.199,4814.422,4202450500.0,000905.SH
2010-11-19,5081.03,4959.062,5081.03,4919.28,5421057400.0,000905.SH
2010-11-22,5150.665,5049.463,5190.605,5036.316,6086765100.0,000905.SH
2010-11-23,5063.237,5129.372,5129.372,4970.488,5377227500.0,000905.SH
2010-11-24,5206.149,5022.128,5206.422,5017.934,5408619800.0,000905.SH
2010-11-25,5259.81,5228.268,5278.319,5226.983,6078655700.0,000905.SH
2010-11-26,5227.648,5255.255,5256.399,5169.034,5407235300.0,000905.SH
2010-11-29,5248.747,5214.449,5273.791,5180.657,5007099900.0,000905.SH
2010-11-30,5110.875,5238.5,5257.098,4960.708,6460012300.0,000905.SH
2010-12-01,5116.837,5090.402,5139.96,5071.354,4082123700.0,000905.SH
2010-12-02,5138.487,5175.258,5192.633,5135.673,4774671500.0,000905.SH
2010-12-03,5100.366,5135.826,5145.805,5052.433,3763797400.0,000905.SH
2010-12-06,5016.528,5103.86,5114.069,4989.281,3413567800.0,000905.SH
2010-12-07,5084.583,4999.589,5088.755,4931.88,3368159600.0,000905.SH
2010-12-08,5069.97,5077.549,5133.247,5059.584,3301617800.0,000905.SH
2010-12-09,4964.901,5047.044,5047.044,4964.253,3503606900.0,000905.SH
2010-12-10,5039.165,4944.929,5045.95,4935.281,3041252700.0,000905.SH
2010-12-13,5179.021,5063.009,5179.518,5063.009,4556354900.0,000905.SH
2010-12-14,5244.038,5194.939,5244.531,5181.198,4936328300.0,000905.SH
2010-12-15,5230.68,5244.803,5276.137,5211.7,4679572300.0,000905.SH
2010-12-16,5216.851,5219.084,5250.386,5200.879,3552043900.0,000905.SH
2010-12-17,5228.337,5212.136,5230.33,5187.398,3041214400.0,000905.SH
2010-12-20,5163.529,5246.417,5264.206,5043.659,4558775600.0,000905.SH
2010-12-21,5222.792,5166.336,5223.395,5123.268,4038840600.0,000905.SH
2010-12-22,5174.539,5225.766,5226.18,5157.318,4077913500.0,000905.SH
2010-12-23,5069.523,5161.257,5170.18,5060.526,3460813400.0,000905.SH
2010-12-24,4991.544,5046.942,5046.942,4947.222,3095078600.0,000905.SH
2010-12-27,4849.63,4993.383,5048.595,4832.529,3415533800.0,000905.SH
2010-12-28,4730.497,4820.824,4827.345,4700.561,2955424800.0,000905.SH
2010-12-29,4812.532,4730.63,4813.242,4723.291,2147683700.0,000905.SH
2010-12-30,4828.489,4810.442,4846.653,4777.84,2353224100.0,000905.SH
2010-12-31,4936.716,4833.887,4936.716,4833.887,2765461400.0,000905.SH
2011-01-04,5011.498,4964.214,5012.057,4938.942,3699564400.0,000905.SH
2011-01-05,5028.766,4989.105,5038.872,4964.866,3475221800.0,000905.SH
2011-01-06,5001.283,5026.331,5047.259,4992.165,3123874300.0,000905.SH
2011-01-07,4975.144,4990.698,5028.274,4945.784,3499623300.0,000905.SH
2011-01-10,4830.562,4966.563,4970.422,4816.581,3113786200.0,000905.SH
