,time,code,close,open,high,low,volume
2099,2016-06-03,000300.XSHG,3189.33,3172.95,3201.75,3162.09,10149178300.0
2100,2016-06-06,000300.XSHG,3178.79,3192.78,3197.22,3168.55,7669375100.0
2101,2016-06-07,000300.XSHG,3177.05,3182.44,3186.62,3168.18,6892831400.0
2102,2016-06-08,000300.XSHG,3163.99,3171.81,3174.97,3148.35,7629177500.0
2103,2016-06-13,000300.XSHG,3066.34,3134.05,3145.61,3065.77,9297594700.0
2104,2016-06-14,000300.XSHG,3075.98,3058.44,3078.75,3055.66,6627945700.0
2105,2016-06-15,000300.XSHG,3116.37,3043.96,3128.67,3042.23,8739325700.0
2106,2016-06-16,000300.XSHG,3094.67,3104.36,3112.48,3089.48,8297470300.0
2107,2016-06-17,000300.XSHG,3110.36,3096.09,3131.05,3096.09,8540298500.0
2108,2016-06-20,000300.XSHG,3112.67,3114.91,3118.73,3089.71,6358714100.0
2109,2016-06-21,000300.XSHG,3106.32,3124.9,3155.49,3097.94,8796534500.0
2110,2016-06-22,000300.XSHG,3133.96,3100.45,3134.06,3096.99,6648711300.0
2111,2016-06-23,000300.XSHG,3117.32,3129.72,3129.72,3102.48,6775173800.0
2112,2016-06-24,000300.XSHG,3077.16,3110.65,3130.54,3033.97,10479220800.0
2113,2016-06-27,000300.XSHG,3120.54,3065.13,3120.64,3064.97,8326725900.0
2114,2016-06-28,000300.XSHG,3136.4,3107.4,3139.43,3099.7,9202463700.0
2115,2016-06-29,000300.XSHG,3151.39,3142.48,3158.08,3139.13,10372366800.0
2116,2016-06-30,000300.XSHG,3153.92,3152.83,3163.72,3148.2,7969261700.0
2117,2016-07-01,000300.XSHG,3154.2,3156.93,3170.26,3148.29,7174628300.0
2118,2016-07-04,000300.XSHG,3204.7,3136.39,3210.6,3134.02,13331052900.0
2119,2016-07-05,000300.XSHG,3207.38,3199.16,3216.7,3198.0,13022689500.0
2120,2016-07-06,000300.XSHG,3216.8,3197.62,3217.52,3183.45,12489745800.0
2121,2016-07-07,000300.XSHG,3209.95,3206.55,3220.54,3190.12,11859520200.0
2122,2016-07-08,000300.XSHG,3192.28,3199.75,3204.93,3183.96,8973485500.0
2123,2016-07-11,000300.XSHG,3203.33,3199.04,3235.96,3197.63,13852951100.0
2124,2016-07-12,000300.XSHG,3273.18,3201.91,3273.47,3200.3,17253421700.0
2125,2016-07-13,000300.XSHG,3282.87,3274.02,3300.99,3271.78,17519609000.0
2126,2016-07-14,000300.XSHG,3276.76,3277.48,3281.95,3259.07,10752579800.0
2127,2016-07-15,000300.XSHG,3276.28,3278.84,3285.03,3265.29,10266502600.0
2128,2016-07-18,000300.XSHG,3262.02,3269.71,3281.64,3251.77,11031251800.0
2129,2016-07-19,000300.XSHG,3248.23,3260.43,3264.73,3226.2,8888686100.0
2130,2016-07-20,000300.XSHG,3237.61,3246.86,3254.51,3232.26,7270125500.0
2131,2016-07-21,000300.XSHG,3252.52,3238.34,3271.37,3238.3,8600482500.0
2132,2016-07-22,000300.XSHG,3225.16,3251.24,3253.77,3220.89,8602912800.0
2133,2016-07-25,000300.XSHG,3230.89,3220.17,3243.79,3218.14,7020318500.0
2134,2016-07-26,000300.XSHG,3269.59,3228.23,3269.75,3228.01,8105108900.0
2135,2016-07-27,000300.XSHG,3218.24,3270.08,3276.51,3157.41,16018866500.0
2136,2016-07-28,000300.XSHG,3221.14,3204.46,3235.78,3195.27,11277996400.0
2137,2016-07-29,000300.XSHG,3203.93,3217.19,3225.42,3198.68,8804483700.0
