,close
2018-01-22,3130.33
2018-01-23,3176.5
2018-01-24,3180.33
2018-01-25,3157.46
2018-01-26,3172.78
2018-01-29,3120.7
2018-01-30,3079.12
2018-01-31,3116.83
2018-02-01,3141.23
2018-02-02,3149.64
2018-02-05,3181.34
2018-02-06,3117.49
2018-02-07,3029.6
2018-02-08,2945.84
2018-02-09,2810.03
2018-02-12,2805.21
2018-02-13,2852.72
2018-02-14,2871.79
2018-02-22,2931.88
2018-02-23,2957.17
2018-02-26,2973.79
2018-02-27,2927.1
2018-02-28,2878.67
2018-03-01,2891.3
2018-03-02,2864.18
2018-03-05,2863.99
2018-03-06,2892.48
2018-03-07,2878.15
2018-03-08,2898.25
2018-03-09,2908.2
2018-03-12,2909.58
2018-03-13,2883.38
2018-03-14,2871.33
2018-03-15,2894.98
2018-03-16,2870.73
2018-03-19,2897.26
2018-03-20,2904.4
2018-03-21,2894.18
2018-03-22,2866.67
2018-03-23,2791.47
2018-03-26,2738.87
2018-03-27,2747.59
2018-03-28,2694.83
2018-03-29,2738.79
2018-03-30,2722.15
2018-04-02,2711.37
2018-04-03,2697.27
2018-04-04,2702.37
2018-04-09,2715.73
2018-04-10,2780.8
2018-04-11,2785.34
2018-04-12,2749.7
2018-04-13,2726.4
2018-04-16,2664.7
2018-04-17,2635.7
2018-04-18,2653.77
2018-04-19,2682.55
2018-04-20,2647.38
2018-04-23,2664.92
2018-04-24,2722.85
2018-04-25,2702.98
2018-04-26,2666.02
2018-04-27,2653.54
2018-05-02,2652.73
2018-05-03,2663.98
2018-05-04,2646.35
2018-05-07,2683.85
2018-05-08,2722.88
2018-05-09,2717.24
2018-05-10,2729.4
2018-05-11,2724.72
2018-05-14,2753.54
2018-05-15,2750.83
2018-05-16,2716.78
2018-05-17,2700.88
2018-05-18,2740.53
2018-05-21,2745.8
2018-05-22,2728.0
2018-05-23,2683.69
2018-05-24,2665.68
2018-05-25,2661.29
2018-05-28,2673.2
2018-05-29,2663.4
2018-05-30,2605.9
2018-05-31,2658.29
2018-06-01,2647.19
2018-06-04,2694.58
2018-06-05,2707.02
