,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98582,002484.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司北京海淀南路证券营业部,15080,1592261,1607341,-1577181,100196276
98385,600535.SH,2013/1/4,BUY,2,106002,跌幅偏离值达7%的证券,中信建投证券股份有限公司广州天河路证券营业部,30966810.75,,,,432135520
98498,300111.SZ,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司杭州庆春路证券营业部,43540,14894478,14938018,-14850938,187027482
98592,002460.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司吉安井冈山大道证券营业部,0,1988748,1988748,-1988748,83172986
98565,002606.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,中信建投证券股份有限公司南昌子固路证券营业部,0,7912019,7912019,-7912019,293346453
98405,300353.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,中信建投证券股份有限公司南京龙园西路证券营业部,356647,3259188,3615835,-2902541,131245309
98399,600532.SH,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司武汉市中北路证券营业部,,14839874.39,,,92539704
98739,000156.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司武汉中北路证券营业部,312534,5483052,5795586,-5170518,216336298
98726,000156.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,中信建投证券股份有限公司武汉中北路证券营业部,312534,5483052,5795586,-5170518,216336298
98591,002460.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,中信建投证券股份有限公司武汉中北路证券营业部,5471448,2124,5473572,5469324,83172986
98559,002606.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,中信建投证券股份有限公司武汉中北路证券营业部,53095,6635072,6688167,-6581977,293346453
98339,600882.SH,2013/1/4,SELL,4,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中信建投证券股份有限公司淄博市中心路证券营业部,,15069249.32,,,401157920
98449,300295.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中信万通证券有限责任公司胶州湖州路证券营业部,0,5445581,5445581,-5445581,168894660
98373,600537.SH,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中信万通证券有限责任公司临沂金雀山路证券营业部,,2921696,,,205246528
98422,300348.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,中信万通证券有限责任公司青岛标山路证券营业部,25014,5254286,5279300,-5229272,152656246
98435,300298.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中信证券（浙江）有限责任公司海宁硖西路证券营业部,5163360,122062,5285422,5041298,224733618
98374,600537.SH,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中信证券（浙江）有限责任公司杭州文三路证券营业部,10011704.5,,,,205246528
98430,300316.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,中信证券（浙江）有限责任公司金华中山路证券营业部,3266433,1152731,4419164,2113702,208416523
98608,002239.SZ,2013/1/4,SELL,5,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中信证券（浙江）有限责任公司临安钱王街证券营业部,0,929212,929212,-929212,23738968
98415,300348.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,中信证券（浙江）有限责任公司绍兴越王城证券营业部,2352786,0,2352786,2352786,152656246
98499,300111.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,中信证券（浙江）有限责任公司嵊州时代商务广场证券营业部,0,8004114,8004114,-8004114,187027482
98706,000677.SZ,2013/1/4,SELL,2,106010,连续三个交易日内涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,中信证券股份有限公司北京复外大街证券营业部,0,348320,348320,-348320,29825508
98589,002460.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,中信证券股份有限公司大连星海广场证券营业部,6467580,0,6467580,6467580,83172986
98730,000156.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,中信证券股份有限公司上海漕溪北路证券营业部,0,10960536,10960536,-10960536,216336298
98721,000156.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,中信证券股份有限公司上海漕溪北路证券营业部,0,10960536,10960536,-10960536,216336298
98575,002492.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,中信证券股份有限公司上海漕溪北路证券营业部,16471166,22526,16493692,16448640,145970121
98534,002694.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,中信证券股份有限公司上海东方路证券营业部,2163804,14724454,16888258,-12560650,184695721
98543,002694.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,中信证券股份有限公司上海东方路证券营业部,2163804,14724454,16888258,-12560650,184695721
98471,300262.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,中信证券股份有限公司上海淮海中路证券营业部,4398000,4772873,9170873,-374873,287597870
98433,300316.SZ,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,中信证券股份有限公司上海淮海中路证券营业部,21852,5420346,5442198,-5398494,208416523
