,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
367,20130104,600722.SH,长江证券股份有限公司成都光华村街证券营业部,," 13,389,831.55 ",13389831.55,0,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
219,20130104,002700.SZ,长江证券股份有限公司惠州下埔路证券营业部," 5,885,397.50 "," 418,104.00 ",-5467293.5,1,换手率达20%的证券
319,20130104,300348.SZ,长江证券股份有限公司郑州金水路证券营业部," 2,630,720.50 "," 71,118.72 ",-2559601.78,1,换手率达20%的证券
358,20130104,600537.SH,招商证券股份有限公司北京车公庄西路证券营业部,," 7,847,556.01 ",7847556.01,0,涨幅偏离值达7%的证券
149,20130104,002239.SZ,招商证券股份有限公司北京知春东里证券营业部," 1,067,884.02 ", -   ,-1067884.02,1,连续三个交易日内，涨幅偏离值累计达20%的证券
187,20130104,002606.SZ,招商证券股份有限公司北京知春东里证券营业部," 79,015.00 "," 2,392,498.01 ",2313483.01,0,换手率达20%的证券
326,20130104,300353.SZ,招商证券股份有限公司南京中山南路证券营业部," 2,659,702.20 "," 560,129.85 ",-2099572.35,1,换手率达20%的证券
286,20130104,300295.SZ,招商证券股份有限公司上海娄山关路证券营业部," 8,449,189.32 ", -   ,-8449189.32,1,涨幅偏离值达7%的证券
75,20130104,000862.SZ,招商证券股份有限公司上海肇嘉浜路证券营业部," 1,318,235.00 "," 7,073.00 ",-1311162,1,涨幅偏离值达7%的证券
214,20130104,002700.SZ,招商证券股份有限公司深圳东门南路证券营业部," 154,284.00 "," 3,572,423.76 ",3418139.76,0,换手率达20%的证券
327,20130104,300353.SZ,招商证券股份有限公司深圳南山南油大道证券营业部," 194,190.00 "," 1,784,184.20 ",1589994.2,0,换手率达20%的证券
256,20130104,300251.SZ,招商证券股份有限公司深圳笋岗路证券营业部," 88,627.00 "," 9,454,981.16 ",9366354.16,0,换手率达20%的证券
178,20130104,002492.SZ,招商证券股份有限公司长春亚泰大街证券营业部," 2,749,340.00 ", -   ,-2749340,1,涨幅偏离值达7%的证券
215,20130104,002700.SZ,招商证券股份有限公司长沙芙蓉中路证券营业部," 2,576,112.10 "," 902,092.00 ",-1674020.1,1,换手率达20%的证券
167,20130104,002484.SZ,浙商证券股份有限公司厦门杏林东路证券营业部," 2,282,639.36 "," 4,697,867.13 ",2415227.77,0,涨幅偏离值达7%的证券
168,20130104,002484.SZ,浙商证券股份有限公司厦门杏林东路证券营业部," 2,282,639.36 "," 4,697,867.13 ",2415227.77,1,涨幅偏离值达7%的证券
20,20130104,000156.SZ,浙商证券股份有限公司上海万航渡路证券营业部," 27,520.00 "," 3,441,000.00 ",3413480,0,换手率达20%的证券
21,20130104,000156.SZ,浙商证券股份有限公司上海万航渡路证券营业部," 27,520.00 "," 3,441,000.00 ",3413480,0,涨幅偏离值达7%的证券
227,20130104,002703.SZ,浙商证券股份有限公司绍兴解放北路证券营业部," 592,753.25 "," 1,815,847.35 ",1223094.1,0,换手率达20%的证券
0,20130104,000043.SZ,中国国际金融有限公司上海淮海中路证券营业部," 16,970,815.06 "," 16,377,628.00 ",-593187.06,0,连续三个交易日内，涨幅偏离值累计达20%的证券
1,20130104,000043.SZ,中国国际金融有限公司上海淮海中路证券营业部," 16,970,815.06 "," 16,377,628.00 ",-593187.06,1,连续三个交易日内，涨幅偏离值累计达20%的证券
30,20130104,000417.SZ,中国国际金融有限公司上海淮海中路证券营业部," 7,545,992.81 "," 68,505.00 ",-7477487.81,1,涨幅偏离值达7%的证券
51,20130104,000750.SZ,中国国际金融有限公司上海淮海中路证券营业部," 8,315,067.11 "," 83,441.00 ",-8231626.11,1,换手率达20%的证券
90,20130104,001914.SZ,中国国际金融有限公司上海淮海中路证券营业部," 16,970,815.06 "," 16,377,628.00 ",-593187.06,0,连续三个交易日内，涨幅偏离值累计达20%的证券
91,20130104,001914.SZ,中国国际金融有限公司上海淮海中路证券营业部," 16,970,815.06 "," 16,377,628.00 ",-593187.06,1,连续三个交易日内，涨幅偏离值累计达20%的证券
202,20130104,002694.SZ,中国国际金融有限公司上海淮海中路证券营业部," 5,050,700.90 ", -   ,-5050700.9,1,换手率达20%的证券
281,20130104,300295.SZ,中国国际金融有限公司上海淮海中路证券营业部," 1,437,878.98 "," 10,873,468.00 ",9435589.02,0,涨幅偏离值达7%的证券
341,20130104,600535.SH,中国国际金融有限公司上海淮海中路证券营业部,," 11,227,557.80 ",11227557.8,0,跌幅偏离值达7%的证券
2,20130104,000043.SZ,中国国际金融有限公司深圳福华一路证券营业部," 14,052,271.14 ", -   ,-14052271.14,1,连续三个交易日内，涨幅偏离值累计达20%的证券
92,20130104,001914.SZ,中国国际金融有限公司深圳福华一路证券营业部," 14,052,271.14 ", -   ,-14052271.14,1,连续三个交易日内，涨幅偏离值累计达20%的证券
155,20130104,002460.SZ,中国民族证券有限责任公司广州福今路证券营业部," 6,120,433.44 ", -   ,-6120433.44,1,涨幅偏离值达7%的证券
83,20130104,000898.SZ,中国银河证券股份有限公司北京金融街证券营业部," 6,864,536.00 "," 45,268.00 ",-6819268,1,涨幅偏离值达7%的证券
210,20130104,002700.SZ,中国银河证券股份有限公司福州证券营业部," 346,137.00 "," 2,367,559.50 ",2021422.5,0,换手率达20%的证券
182,20130104,002606.SZ,中国银河证券股份有限公司合肥屯溪路证券营业部, -   ," 2,274,319.84 ",2274319.84,0,换手率达20%的证券
252,20130104,300251.SZ,中国银河证券股份有限公司马鞍山证券营业部," 39,080.00 "," 8,570,169.00 ",8531089,0,换手率达20%的证券
173,20130104,002492.SZ,中国银河证券股份有限公司宁波翠柏路证券营业部, -   ," 6,108,313.75 ",6108313.75,0,涨幅偏离值达7%的证券
282,20130104,300295.SZ,中国银河证券股份有限公司宁波大庆南路证券营业部, -   ," 15,065,470.42 ",15065470.42,0,涨幅偏离值达7%的证券
